unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
224244,41.0,13.0,665,145.0,60.0,60.0,65.0,20.0,1,0,1,0,0.0,55.0,6051.0,97.0,6874.0,59.0,7658.0,97.0,21730,38630.0,38630.0,0,1
224323,77.0,11.0,3664,1958.0,395.0,395.0,40.0,19.0,1,1,0,0,7.7,29.0,5674.0,99.0,36287.0,48.0,7437.0,99.0,53930,72845.0,72845.0,0,1
224527,71.0,14.0,1759,1016.0,354.0,350.0,0.0,0.0,1,0,1,0,7.23,40.0,5448.0,100.0,14509.0,65.0,8474.0,100.0,30680,45330.0,45330.0,0,1
224545,64.0,14.0,3431,2180.0,368.0,343.0,0.0,0.0,0,1,1,0,0.0,57.0,6241.0,54.0,4916.0,45.0,6337.0,97.0,8349,29381.0,66112.0,0,0
224554,57.0,17.0,10625,9801.0,1202.0,1168.0,35.0,13.0,0,1,1,0,6.0,68.0,6567.0,61.0,3419.0,59.0,5582.0,95.0,10026,25156.0,37456.0,0,0
225247,65.0,15.0,3479,3131.0,383.0,383.0,32.0,20.0,1,1,0,0,12.94,46.0,6131.0,99.0,19711.0,93.0,7080.0,100.0,32960,49136.0,49136.0,0,1
225399,69.0,18.0,8455,7139.0,751.0,691.0,33.0,6.0,1,1,1,0,5.17,61.0,6028.0,100.0,22334.0,63.0,6205.0,100.0,39430,58132.0,58132.0,0,1
225414,74.0,15.0,2352,2129.0,473.0,364.0,69.0,6.0,0,1,0,0,0.0,55.0,5915.0,33.0,5109.0,21.0,5341.0,80.0,7770,26058.0,39402.0,0,0
225432,67.0,18.0,6551,5893.0,1181.0,857.0,41.0,4.0,0,1,1,1,0.0,71.0,6733.0,25.0,2869.0,21.0,4946.0,88.0,7708,43500.0,49618.0,0,0
225502,65.0,15.0,1880,1803.0,221.0,204.0,0.0,0.0,0,1,1,1,0.0,56.0,6948.0,72.0,3494.0,28.0,6825.0,91.0,7149,23153.0,32993.0,0,0
225511,87.0,22.0,31716,23446.0,6218.0,5778.0,46.0,13.0,0,1,1,1,4.0,45.0,6210.0,56.0,5776.0,36.0,7249.0,83.0,9717,27761.0,40591.0,0,0
225548,52.0,10.0,1189,801.0,216.0,187.0,41.0,17.0,1,1,0,0,5.2,50.0,5362.0,91.0,15194.0,79.0,10098.0,91.0,34982,49576.0,49576.0,0,1
225575,58.0,14.0,3190,1247.0,290.0,288.0,5.0,6.0,1,1,1,0,5.0,69.0,3583.0,18.0,2317.0,96.0,5966.0,96.0,26709,38078.0,38078.0,0,1
